Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as picasso_weeping_woman\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 101, total loss=2168706304.0000, content_loss=1038612109.3750, style loss=1072025625.0000, tv loss=58068688.0000
LBFGS | iteration: 102, total loss=2145075584.0000, content_loss=1029132128.9062, style loss=1057934250.0000, tv loss=58009184.0000
LBFGS | iteration: 103, total loss=2125990656.0000, content_loss=1025862207.0312, style loss=1042221250.0000, tv loss=57907208.0000
LBFGS | iteration: 104, total loss=2105062272.0000, content_loss=1019465527.3438, style loss=1027740250.0000, tv loss=57856480.0000
LBFGS | iteration: 105, total loss=2083889664.0000, content_loss=1012349414.0625, style loss=1013809750.0000, tv loss=57730504.0000
LBFGS | iteration: 106, total loss=2062051456.0000, content_loss=1007112402.3438, style loss=997269437.5000, tv loss=57669624.0000
LBFGS | iteration: 107, total loss=2042140032.0000, content_loss=1003170214.8438, style loss=981390812.5000, tv loss=57578988.0000
LBFGS | iteration: 108, total loss=2021414400.0000, content_loss=993085937.5000, style loss=970838500.0000, tv loss=57489944.0000
LBFGS | iteration: 109, total loss=2002812800.0000, content_loss=997121875.0000, style loss=948290500.0000, tv loss=57400448.0000
LBFGS | iteration: 110, total loss=1985154432.0000, content_loss=982369726.5625, style loss=945469937.5000, tv loss=57314672.0000
LBFGS | iteration: 111, total loss=1967451392.0000, content_loss=979263183.5938, style loss=930922187.5000, tv loss=57266104.0000
LBFGS | iteration: 112, total loss=1952522240.0000, content_loss=977133007.8125, style loss=918262562.5000, tv loss=57126600.0000
LBFGS | iteration: 113, total loss=1935159552.0000, content_loss=967802832.0312, style loss=910261187.5000, tv loss=57095548.0000
LBFGS | iteration: 114, total loss=1918237440.0000, content_loss=968715527.3438, style loss=892496187.5000, tv loss=57025772.0000
LBFGS | iteration: 115, total loss=1902958336.0000, content_loss=961843847.6562, style loss=884174062.5000, tv loss=56940400.0000
LBFGS | iteration: 116, total loss=1886661632.0000, content_loss=958716308.5938, style loss=871083562.5000, tv loss=56861700.0000
LBFGS | iteration: 117, total loss=1869284608.0000, content_loss=951154199.2188, style loss=861362687.5000, tv loss=56767744.0000
LBFGS | iteration: 118, total loss=1851392128.0000, content_loss=946297851.5625, style loss=848410687.5000, tv loss=56683704.0000
LBFGS | iteration: 119, total loss=1835833216.0000, content_loss=942579101.5625, style loss=836648937.5000, tv loss=56605192.0000
